Practice Code,Psychoses: QOF prevalence (all ages),Dementia: QOF prevalence (all ages),Depression: QOF prevalence (18+),Dep 1: Depression case finding in CHD and/or diabetes patients,Limiting long-term illness (MSOA based),Long term unemployment (MSOA based),Healthy eating adults (MSOA based),Prevalence of adults who binge drink,Standardised admission ratio for alcohol attributable harm (MSOA based),Prevalence of obese adults,Incidence of all cancers (MSOA based),% aged 65+ years,Deprivation score,IDAOPI,% satisfied with phone access,% with a long-standing health condition,% with health-related problems in daily life,Disability allowance claimants (per 1000)
A81001,1.091,0.91,5.772,92.105,20.24,15.183,22,25.2,148.632,27.4,100.098,23.525,26.12,25,65.698,64.905,63.405,61.846
A81002,0.697,0.626,21.049,93.966,20.059,12.42,20.7,26.8,140.692,27.9,104.266,19.099,28.39,25,79.755,60.686,56.104,68.166
A81003,1.324,0.387,8.85,99.632,24.055,13.23,18.3,28.2,155.546,28.1,109.765,14.337,42.14,34,68.452,59.443,62.175,78.378
A81004,0.732,0.564,4.571,90.937,19.741,13.18,20.5,28.1,157.629,27.3,110.807,21.456,31.13,26,69.821,54.49,50.365,61.485
A81005,0.988,1.054,11.513,92.217,17.088,6.39,25.4,26.8,108.623,26.7,86.133,23.087,13.91,13,79.749,53.841,48.766,42.649
A81006,0.742,0.5,21.352,94.19,20.26,12.507,20.1,27,145.205,28.3,106.571,16.839,30.04,26,77.559,54.382,53.622,69.936
A81007,0.586,0.783,22.776,90.514,22.925,11.048,19.7,27.8,140.166,27.4,108.989,17.025,32.6,28,90.993,63.576,57.665,69.193
A81008,0.872,0.508,8.263,91.408,23.701,20.927,16.9,26.4,183.852,30.7,122.346,15.29,50.7,39,76.517,63.359,60.284,87.397
A81009,1.025,0.58,19.737,91.843,19.575,12.842,20.5,28.9,158.941,27.2,110.573,14.398,33.32,27,58.383,54.433,50.847,65.838
A81011,0.759,0.471,15.124,91.853,23.427,11.377,19,27.5,143.505,27.7,109.451,17.907,35.1,30,86.883,69.971,64.707,72.958
A81012,0.978,0.538,19.219,91.129,22.423,18.051,17.4,28,188.111,29.2,119.125,14.881,46.62,36,88.39,62.508,64.489,78.585
A81013,0.769,0.232,14.812,93.933,21.566,13.588,20.1,31.9,116.79,32.7,90.955,16.109,29.55,21,90.71,54.602,55.235,78.74
