Practice Code,Working status - Unemployed,Diabetes: QOF prevalence (17+),Hypertension: QOF prevalence (all ages),Obesity: QOF prevalence (16+),Dep 1: Depression case finding in CHD and/or diabetes patients,Smoking 3: status recorded in last 15mths (certain conditions),All outpatient attendances (per 1000)
A81001,7.129,6.472,12.877,12.351,92.105,95.967,1161.5
A81002,10.755,6.223,16.573,13.596,93.966,97.348,1215.7
A81003,22.862,5.812,17.068,19.062,99.632,99.039,808.9
A81004,2.534,6.646,16.185,12.518,90.937,96.403,1075.4
A81005,6.732,5.997,17.202,11.042,92.217,97.735,957.9
A81006,6.598,6.108,15.094,11.635,94.19,96.702,1141.3
A81007,5.004,5.588,16.598,10.442,90.514,96.876,1013.3
A81008,21.329,7.334,19.335,12.822,91.408,97.473,909.8
A81009,16.447,5.294,13.643,11.686,91.843,94.77,917
A81011,9.492,5.873,18.723,11.928,91.853,97.299,1020.2
A81012,8.227,6.257,16.915,17.72,91.129,96.359,898.4
A81013,11.219,6.7,15.52,13.278,93.933,99.318,807.4
A81014,3.182,6.736,19.078,18.025,92.84,94.809,1216
A81015,4.86,5.49,13.557,11.969,92.34,94.792,922.6
A81016,17.025,5.494,13.026,11.896,92.073,96.267,912.9
A81017,4.216,4.855,11.119,11.539,84.17,92.452,869.7
A81018,13.903,7.792,19.384,13.838,91.382,97.139,910.5
A81019,5.199,5.907,12.837,15.493,92.894,97.22,989.9
A81020,3.951,5.567,17.634,14.851,90.676,96.158,969.5
A81021,4.47,6.031,15.279,17.567,90.862,96.646,999.3
A81022,14.143,5.936,16.978,11.737,88.791,96.313,899.6
A81023,7.865,4.753,12.789,12.654,88.584,96.373,940.7
A81025,3.489,4.888,13.989,12.871,94.314,98.642,1171.9
A81026,9.258,5.633,11.524,9.413,80.259,94.595,1036.7
A81027,0,4.719,14.82,10.952,91.628,97.016,927.6
A81029,12.703,5.27,11.916,11.536,90.773,96.432,839.5
A81030,4.331,5.327,13.491,9.047,90.365,99.593,950.9
A81031,6.101,6.053,16.99,16.748,88.193,94.826,1021.5
A81032,13.926,5.473,14.09,10.735,92.892,95.257,875.9
A81033,13.563,6.999,15.184,19.715,94.477,97.84,871.9
A81034,10.406,5.111,11.778,11.347,92.546,98.272,1032.9
A81035,11.526,5.694,14.154,12.352,91.618,92.329,986.1
A81036,8.963,5.751,17.689,14.733,90.652,93.896,1184.1
A81037,12.381,7.112,12.263,12.312,90.295,96.272,1075.2
A81038,13.27,7.674,14.115,14.012,89.324,99.866,1015.8
A81039,5.363,4.545,12.496,9.967,93.382,98.443,984.1
A81040,5.859,5.792,14.803,13.458,92.802,95.378,1114.7
A81041,5.752,6.008,17.438,13.239,98.837,98.833,1083.3
A81042,10.09,7.342,14.816,10.874,92.279,96.806,1043.2
A81043,2.147,5.428,16.321,12.216,95.089,97.413,1179.4
A81044,1.933,5.581,16.462,11.533,92.758,97.91,1019.7
